,psu_hh_idcode,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q11,Q14,Q17,Q18,Q19
65,251_5_3,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
66,252_4_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
67,254_4_3,1,1,1,6.0,1.0,3.0,2.0,2.0,14.0,1.0,,,
68,264_5_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
69,269_4_4,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
70,269_8_5,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
71,274_5_5,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
72,278_6_4,1,1,1,2.0,3.0,3.0,4.0,2.0,1.0,1.0,,,
73,278_7_4,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
74,280_3_4,1,1,1,2.0,3.0,3.0,0.0,2.0,4.0,1.0,,,
75,280_5_5,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
76,281_2_6,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
77,281_5_5,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
78,284_10_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
79,291_7_3,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
80,292_6_3,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
81,301_10_4,1,1,1,5.0,3.0,2.0,2.0,1.0,,1.0,,,
82,302_2_3,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
83,321_2_3,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
84,321_4_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
85,329_3_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
86,335_4_5,1,1,1,5.0,1.0,2.0,0.0,1.0,,1.0,,,
87,335_6_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
88,337_3_3,1,1,1,5.0,5.0,6.0,3.0,1.0,,1.0,,,
89,342_1_4,1,1,1,4.0,2.0,2.0,0.0,1.0,,1.0,,,
90,344_5_5,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
91,345_7_3,1,1,1,2.0,1.0,2.0,2.0,1.0,,1.0,,,
92,348_7_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
93,356_4_3,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
94,358_4_5,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
95,359_5_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
96,362_6_4,1,1,1,2.0,3.0,3.0,3.0,2.0,1.0,1.0,,,
97,365_4_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
98,365_8_3,1,1,1,2.0,2.0,2.0,3.0,1.0,,1.0,,,
99,367_2_3,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
100,367_6_3,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
101,371_2_3,1,1,1,2.0,3.0,2.0,0.0,1.0,,1.0,,,
102,372_1_4,1,1,1,6.0,1.0,3.0,4.0,1.0,,1.0,,,
103,372_6_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
104,373_9_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
105,374_3_4,1,1,1,2.0,3.0,3.0,0.0,2.0,14.0,1.0,,,
106,378_5_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
107,380_10_4,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
108,381_8_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
109,382_9_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
110,384_10_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
111,385_3_3,1,1,1,4.0,2.0,2.0,0.0,1.0,,1.0,,,
112,387_3_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
113,390_8_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
114,392_1_3,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
115,392_7_4,1,1,1,2.0,2.0,2.0,1.0,1.0,,1.0,,,
116,395_5_4,1,1,1,2.0,3.0,3.0,1.0,2.0,1.0,1.0,,,
117,396_1_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
118,396_7_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
119,397_1_3,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
120,397_4_4,1,1,1,2.0,3.0,3.0,1.0,2.0,1.0,1.0,,,
121,397_9_3,1,1,1,2.0,3.0,3.0,1.0,1.0,,1.0,,,
122,400_10_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
123,403_2_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
124,420_5_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
125,421_2_3,1,1,1,5.0,5.0,6.0,0.0,1.0,,1.0,,,
126,423_4_3,1,1,1,2.0,2.0,2.0,0.0,1.0,,1.0,,,
127,426_4_3,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
128,432_9_3,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
129,433_4_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
130,440_2_3,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
131,441_2_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
132,441_7_4,1,1,1,6.0,2.0,3.0,1.0,1.0,,1.0,,,
133,443_4_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
134,450_2_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
135,453_6_5,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
136,455_9_4,1,1,1,2.0,3.0,3.0,2.0,2.0,14.0,1.0,,,
137,461_3_3,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
138,463_6_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
139,478_7_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
140,481_6_2,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
141,489_5_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
142,501_1_3,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
143,505_7_3,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
144,506_3_6,1,1,1,1.0,9.0,2.0,1.0,1.0,,1.0,,,
145,508_2_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
146,511_2_4,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
147,514_6_4,1,1,1,2.0,2.0,2.0,1.0,1.0,,1.0,,,
148,516_6_3,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
149,518_11_4,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
150,518_12_4,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
151,521_10_3,1,1,1,2.0,3.0,3.0,1.0,1.0,,1.0,,,
152,523_7_2,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
153,524_5_5,1,1,1,2.0,3.0,3.0,1.0,1.0,,1.0,,,
154,524_6_5,1,1,1,2.0,3.0,3.0,1.0,1.0,,1.0,,,
155,529_7_5,1,1,1,2.0,1.0,2.0,0.0,1.0,,1.0,,,
156,531_2_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
157,534_2_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
158,534_4_3,1,1,1,2.0,3.0,3.0,0.0,2.0,14.0,1.0,,,
159,534_8_4,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
160,536_6_5,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
161,536_8_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
162,546_7_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
163,546_10_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
164,559_1_4,1,1,1,2.0,3.0,3.0,4.0,2.0,1.0,1.0,,,
165,559_6_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
166,560_4_3,1,1,1,5.0,4.0,2.0,4.0,1.0,,1.0,,,
167,565_7_4,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
168,567_8_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
169,572_6_6,1,1,1,2.0,3.0,3.0,0.0,2.0,2.0,1.0,,,
170,575_8_2,1,1,1,2.0,3.0,3.0,1.0,2.0,13.0,1.0,,,
171,590_2_3,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
172,592_9_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
173,594_5_4,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
174,595_3_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
175,598_4_4,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
176,603_6_4,1,1,1,2.0,3.0,3.0,2.0,2.0,5.0,1.0,,,
177,604_9_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
178,606_3_4,1,1,1,6.0,2.0,3.0,1.0,1.0,,1.0,,,
179,608_1_3,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
180,609_6_3,1,1,1,2.0,3.0,3.0,0.0,2.0,1.0,1.0,,,
181,612_1_4,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
182,616_5_5,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
183,618_8_4,3,3,2,,,,,,,,,,
184,618_9_2,3,3,2,,,,,,,,,,
185,620_3_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
186,620_4_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
187,622_1_4,1,1,1,2.0,3.0,3.0,2.0,2.0,14.0,1.0,,,
188,623_1_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
189,632_6_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
190,634_5_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
191,634_10_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
192,635_6_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
193,643_3_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
194,645_6_3,1,1,1,2.0,1.0,2.0,0.0,1.0,,1.0,,,
195,645_6_4,1,1,1,2.0,1.0,2.0,0.0,1.0,,1.0,,,
196,647_7_1,1,1,1,2.0,2.0,2.0,0.0,1.0,,1.0,,,
197,650_9_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
198,651_2_3,1,1,1,2.0,2.0,2.0,1.0,1.0,,1.0,,,
199,653_8_5,2,2,2,,,,,,,,,,
200,656_3_3,1,1,1,1.0,9.0,2.0,2.0,1.0,,1.0,,,
201,660_3_3,1,1,1,6.0,2.0,3.0,3.0,1.0,,1.0,,,
202,660_5_4,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
203,668_7_3,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
204,671_9_3,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
205,672_1_4,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
206,672_2_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
207,672_3_4,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
208,673_4_3,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
209,675_12_3,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
210,676_5_6,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
211,678_4_4,1,1,1,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,
212,679_6_5,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
213,692_8_4,1,1,1,2.0,1.0,2.0,0.0,1.0,,1.0,,,
214,697_1_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
215,702_11_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
216,703_6_4,1,1,1,2.0,3.0,3.0,1.0,1.0,,1.0,,,
217,704_3_4,1,1,1,2.0,2.0,2.0,0.0,1.0,,1.0,,,
218,712_5_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
219,716_7_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
220,723_11_4,1,1,1,2.0,3.0,3.0,1.0,1.0,,1.0,,,
221,724_2_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
222,724_7_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
223,725_6_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
224,734_11_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
225,741_2_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
226,741_6_4,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
227,744_8_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
228,747_3_4,1,1,1,2.0,3.0,3.0,3.0,1.0,,1.0,,,
229,755_7_5,1,1,1,2.0,3.0,3.0,0.0,2.0,1.0,1.0,,,
230,756_4_1,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
231,767_9_3,1,1,1,2.0,3.0,3.0,0.0,2.0,13.0,1.0,,,
232,773_4_4,1,1,1,2.0,3.0,3.0,1.0,1.0,,1.0,,,
233,773_6_4,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
234,774_7_4,1,1,1,2.0,3.0,3.0,0.0,2.0,14.0,1.0,,,
235,775_8_2,1,1,1,6.0,2.0,3.0,1.0,1.0,,1.0,,,
236,776_4_5,1,1,1,2.0,2.0,2.0,0.0,1.0,,1.0,,,
237,778_2_3,1,1,1,1.0,9.0,2.0,0.0,1.0,,1.0,,,
238,780_7_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
239,782_8_3,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
240,786_4_5,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
241,786_8_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
242,789_3_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
243,790_7_5,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
244,806_7_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
245,806_10_3,1,1,1,2.0,2.0,2.0,3.0,1.0,,1.0,,,
246,810_5_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
247,812_5_7,1,1,1,2.0,2.0,2.0,0.0,1.0,,1.0,,,
248,816_2_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
249,821_4_5,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
250,830_4_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
251,831_1_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
252,832_1_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
253,832_5_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
254,834_5_3,1,1,1,2.0,3.0,3.0,2.0,1.0,,1.0,,,
255,3_8_3,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
256,4_1_4,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
257,7_9_3,1,1,1,5.0,3.0,2.0,0.0,1.0,,1.0,,,
258,10_2_3,1,1,1,6.0,2.0,3.0,3.0,1.0,,1.0,,,
259,11_1_3,1,1,1,6.0,2.0,3.0,1.0,1.0,,1.0,,,
260,13_8_3,1,1,1,6.0,1.0,3.0,4.0,1.0,,1.0,,,
261,18_4_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
262,24_1_3,1,1,1,6.0,2.0,3.0,3.0,1.0,,1.0,,,
263,25_4_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
264,25_9_4,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
265,26_3_3,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
266,29_7_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
267,30_1_3,1,1,1,6.0,2.0,3.0,3.0,1.0,,1.0,,,
268,34_7_3,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
269,35_1_3,1,1,1,5.0,4.0,2.0,2.0,1.0,,1.0,,,
270,37_3_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
271,39_8_3,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
272,44_1_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
273,49_4_3,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
274,51_7_5,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
275,58_6_3,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
276,58_7_4,1,1,1,2.0,1.0,2.0,2.0,1.0,,1.0,,,
277,65_2_3,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
278,72_2_3,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
279,75_1_4,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
280,77_3_4,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
281,77_9_5,3,3,2,,,,,,,,,,
282,87_1_3,1,1,2,,,,,,,,,,
283,88_7_2,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
284,90_3_3,1,1,2,,,,,,,,,,
285,93_5_3,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
286,99_8_4,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
287,101_2_4,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
288,108_1_3,1,1,1,6.0,2.0,3.0,1.0,1.0,,1.0,,,
289,109_2_3,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
290,110_5_3,1,1,1,6.0,2.0,3.0,1.0,1.0,,1.0,,,
291,117_11_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
292,118_12_4,1,1,1,6.0,2.0,3.0,3.0,1.0,,1.0,,,
293,119_5_8,1,1,1,6.0,2.0,3.0,1.0,1.0,,1.0,,,
294,130_7_3,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
295,132_3_5,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
296,132_6_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
297,133_2_3,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
298,136_6_3,1,1,2,,,,,,,,,,
299,143_6_4,1,1,1,4.0,1.0,2.0,0.0,1.0,,1.0,,,
300,150_11_3,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
301,151_5_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
302,151_9_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
303,153_5_3,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
304,154_1_4,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
305,162_5_3,1,1,1,6.0,2.0,3.0,3.0,1.0,,1.0,,,
306,162_8_3,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
307,163_3_4,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
308,164_2_4,2,2,2,,,,,,,,,,
309,167_3_4,1,1,1,6.0,2.0,3.0,3.0,1.0,,1.0,,,
310,167_7_3,1,1,1,6.0,2.0,3.0,3.0,1.0,,1.0,,,
311,173_6_3,1,1,1,6.0,2.0,3.0,3.0,1.0,,1.0,,,
312,174_3_3,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
313,177_2_3,1,1,1,6.0,1.0,3.0,3.0,1.0,,1.0,,,
314,177_12_6,1,1,1,6.0,2.0,3.0,3.0,1.0,,1.0,,,
315,178_8_3,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
316,197_2_3,1,1,1,6.0,2.0,3.0,1.0,1.0,,1.0,,,
317,198_1_3,1,1,1,6.0,1.0,3.0,1.0,1.0,,1.0,,,
318,203_10_3,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
319,223_2_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
320,223_5_4,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
321,224_6_4,1,1,1,6.0,1.0,3.0,0.0,1.0,,1.0,,,
322,228_8_4,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
323,229_8_4,1,1,1,6.0,3.0,7.0,0.0,2.0,13.0,1.0,,,
324,231_2_4,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
325,234_12_3,1,1,1,2.0,3.0,3.0,0.0,1.0,,1.0,,,
326,258_8_3,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
327,258_11_3,1,1,1,6.0,2.0,3.0,0.0,1.0,,1.0,,,
328,264_2_3,1,1,1,6.0,1.0,3.0,2.0,1.0,,1.0,,,
329,264_11_3,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
330,269_8_4,1,1,1,6.0,2.0,3.0,2.0,1.0,,1.0,,,
