,psu_hh_idcode,subjectivePoverty_rating
109,184_11_1,2
110,619_5_1,7
111,551_5_1,4
112,474_1_1,7
113,530_7_1,7
114,8_7_1,4
115,146_3_1,5
116,396_5_1,2
117,814_8_2,2
118,672_8_2,3
119,167_8_1,4
120,490_11_1,7
121,60_2_1,4
122,738_8_2,3
123,4_10_1,7
124,33_9_1,2
125,465_5_1,4
126,648_11_2,6
127,23_5_1,4
128,131_11_2,2
129,367_11_1,5
130,30_2_1,2
131,29_7_1,3
132,364_5_1,4
133,190_4_1,6
134,3_3_1,4
135,13_1_1,7
136,454_4_1,7
137,800_5_1,3
138,190_1_1,6
139,624_4_2,5
140,699_7_1,5
141,353_6_1,5
142,593_4_1,5
143,739_2_1,4
144,741_4_2,6
145,7_4_1,4
146,341_4_1,5
147,358_5_3,5
148,768_10_1,3
149,11_1_2,5
150,300_2_1,3
151,264_12_1,7
152,130_16_2,5
153,730_5_2,9
154,48_6_1,3
155,59_5_1,7
156,135_12_2,3
157,179_4_1,5
158,309_1_1,4
159,505_5_1,3
160,356_2_1,5
161,508_4_1,5
162,726_7_2,7
163,492_6_1,6
164,568_2_1,9
165,331_5_1,4
166,178_8_1,6
167,12_6_1,5
168,213_8_1,4
169,42_8_1,3
170,385_7_1,3
171,396_7_1,3
172,785_2_2,4
173,248_7_1,6
174,382_8_1,1
175,705_4_2,6
176,442_3_1,4
177,336_5_1,4
178,471_7_2,7
179,526_6_1,4
180,210_1_1,8
181,784_9_1,6
182,152_10_2,6
183,629_4_2,5
184,752_5_1,6
185,395_1_2,5
186,192_9_1,4
187,236_2_2,8
188,770_5_2,1
189,380_7_1,5
190,760_8_2,9
191,226_10_1,2
192,759_2_2,4
193,543_2_1,3
194,651_2_1,4
195,729_5_1,6
196,240_12_1,3
197,494_7_1,4
198,681_8_1,6
199,678_6_2,7
200,661_7_1,2
201,150_7_1,5
202,375_6_3,3
203,324_9_1,5
204,377_8_3,5
205,48_3_1,3
206,243_7_1,4
207,552_8_1,4
208,74_2_1,4
209,501_4_1,4
210,688_7_1,6
211,3_10_1,5
212,536_1_1,4
213,770_2_2,4
214,631_6_1,3
215,731_9_1,8
216,285_2_1,7
217,786_2_3,5
218,750_11_1,7
219,792_9_2,4
220,639_3_2,8
221,516_3_1,5
222,726_8_1,4
223,494_2_1,8
224,628_1_1,5
225,270_5_2,6
226,503_1_1,3
227,590_7_1,8
228,17_5_1,6
229,556_3_1,1
230,284_3_1,7
231,133_2_2,3
232,67_12_1,7
233,403_3_3,6
234,681_4_1,5
235,451_4_1,5
236,167_1_1,7
237,288_12_1,2
238,200_2_1,6
239,135_9_2,2
240,438_11_1,5
241,629_9_1,3
242,96_4_1,4
243,805_4_2,5
244,450_3_1,4
245,811_6_1,5
246,498_8_1,4
247,657_7_1,4
248,512_2_1,7
249,642_5_2,7
250,764_2_2,4
251,388_4_1,3
252,145_8_1,4
253,95_4_1,2
254,265_8_1,4
255,785_3_2,5
256,195_3_2,4
257,137_4_1,4
258,85_5_1,2
259,209_8_1,2
260,195_2_1,5
261,63_1_3,6
262,296_8_1,6
263,408_7_1,5
264,708_6_1,3
265,825_5_2,2
266,265_4_1,5
267,370_5_1,2
268,457_4_2,5
269,670_6_3,4
270,735_5_1,4
271,325_4_1,4
272,602_6_1,5
273,584_8_2,7
274,316_4_1,5
275,71_2_1,1
276,188_9_1,5
277,434_10_1,8
278,410_10_1,5
279,245_7_1,7
280,256_5_3,6
281,429_4_1,6
282,308_10_1,5
283,276_4_1,5
284,714_12_1,5
285,279_3_1,7
286,130_11_2,3
287,779_2_1,3
288,805_2_2,4
289,328_4_1,3
290,524_7_1,4
291,201_7_1,7
292,458_5_1,2
293,293_5_1,2
294,546_1_2,4
295,158_6_3,5
296,10_8_1,4
297,41_6_1,4
298,767_3_2,4
299,597_5_1,3
300,293_4_1,2
301,413_6_1,4
302,773_1_1,2
303,680_10_2,4
304,390_6_1,3
305,787_2_1,5
306,350_6_1,4
307,217_3_5,4
308,688_6_1,5
309,434_9_1,5
310,721_6_1,9
311,601_4_1,4
312,351_7_1,9
313,810_2_2,4
314,786_3_1,7
315,486_2_1,5
316,180_2_2,4
317,289_11_1,3
318,335_10_1,3
319,86_4_1,5
320,351_1_1,5
321,668_7_1,4
322,281_1_1,9
323,222_6_1,2
324,659_1_1,2
325,285_5_1,9
326,93_1_1,5
327,604_9_1,4
328,629_5_2,4
329,728_5_1,6
330,186_1_2,3
331,555_6_2,3
332,786_1_1,6
333,633_7_1,3
334,12_1_1,3
335,421_7_1,7
336,634_10_2,4
337,560_8_2,5
338,430_1_1,6
339,20_6_1,5
340,733_7_2,4
341,822_3_1,8
342,133_1_2,3
343,216_1_1,3
344,64_9_1,5
345,328_5_1,3
346,395_4_1,5
347,660_4_1,4
348,503_6_1,3
349,418_4_1,2
350,25_8_1,7
351,417_6_1,4
352,289_4_1,2
353,254_2_1,4
354,603_4_1,2
355,368_11_4,3
356,639_6_4,7
357,717_11_1,4
358,135_4_2,3
359,681_9_1,5
360,764_1_2,6
361,60_5_1,3
362,50_3_1,2
363,288_9_1,3
364,361_4_1,5
365,383_4_1,4
366,490_10_2,7
367,573_4_2,4
368,549_5_1,4
369,95_5_1,3
370,654_6_1,3
371,221_6_1,2
372,393_1_6,4
373,740_5_2,1
374,521_1_1,5
375,539_5_1,7
376,253_11_1,7
377,128_8_1,7
378,101_1_1,5
379,680_2_1,4
380,702_11_3,6
381,738_6_2,7
382,443_2_1,1
383,194_2_3,2
384,131_10_2,4
385,153_9_1,6
386,379_6_1,4
387,323_7_1,7
388,27_1_1,3
389,420_11_1,4
390,434_7_1,3
391,628_4_2,5
392,558_9_1,5
393,790_6_1,3
394,716_7_1,8
395,785_1_2,5
396,807_9_1,2
397,751_8_1,4
398,131_4_2,3
399,761_10_1,5
400,435_9_1,5
401,762_11_3,6
402,678_2_2,4
403,744_1_2,2
404,728_8_1,5
405,322_6_1,5
406,445_8_2,8
407,409_4_1,4
408,203_10_1,3
409,308_3_1,5
410,634_2_1,6
411,437_6_1,5
412,228_5_1,1
413,755_5_2,1
414,415_2_1,5
415,672_4_1,3
416,79_2_1,3
417,205_1_1,6
418,144_1_1,3
419,51_2_1,6
420,178_6_1,4
421,701_7_1,4
422,707_9_2,8
423,783_4_1,8
424,186_6_1,2
425,500_7_1,4
426,117_7_1,6
427,649_3_1,6
428,208_11_1,2
429,828_2_1,6
430,758_8_1,6
431,416_5_1,4
432,797_4_1,4
433,358_4_1,3
434,425_7_1,5
435,451_1_1,7
436,195_8_2,4
437,470_7_1,3
438,400_8_1,3
439,710_9_1,5
440,749_3_2,5
441,359_2_1,4
442,193_10_2,3
443,150_1_1,6
444,95_1_1,3
445,165_4_1,3
446,198_3_2,4
447,669_8_2,4
448,315_3_1,4
449,193_3_1,8
450,638_8_1,8
451,170_3_1,8
452,560_7_1,4
453,188_3_1,7
454,668_4_1,4
455,93_9_1,5
456,570_8_1,5
457,430_5_1,2
458,338_3_1,6
459,41_3_1,3
460,303_3_1,2
461,172_3_2,5
462,667_3_1,3
463,90_1_1,6
464,5_7_1,4
465,685_1_1,6
466,593_8_1,6
467,300_9_1,5
468,38_1_1,1
469,694_6_1,6
470,493_4_1,7
471,772_7_2,2
472,77_5_1,3
473,591_8_1,1
474,381_8_1,5
475,437_5_1,4
476,102_5_1,3
477,88_1_1,5
478,89_3_1,5
479,570_7_2,5
480,832_11_1,6
481,68_4_1,4
482,138_8_1,7
483,708_1_1,1
484,817_4_1,4
485,240_10_1,3
486,156_5_1,2
487,621_9_1,5
488,123_11_2,4
489,369_2_2,4
490,125_3_1,6
491,834_7_1,5
492,389_5_1,4
493,246_11_1,8
494,776_7_1,6
495,189_4_1,4
496,770_9_1,1
497,685_8_1,6
498,718_3_1,5
499,621_5_1,5
500,576_5_8,4
501,630_9_1,3
502,400_7_1,4
503,786_9_2,4
504,305_2_1,3
505,443_9_1,7
506,59_2_1,6
507,69_7_1,2
508,771_2_2,2
509,44_6_1,4
510,492_5_1,5
511,667_4_1,2
512,178_5_1,7
513,695_3_1,4
514,166_4_1,5
515,827_9_1,4
516,20_7_1,3
517,44_12_1,4
518,821_4_2,8
519,708_4_1,2
520,753_2_1,8
521,92_6_1,7
522,315_7_1,4
523,746_2_3,5
524,609_4_1,4
525,790_9_2,4
526,712_8_2,7
527,614_5_1,5
528,168_6_2,6
529,302_6_1,4
530,149_6_2,5
531,444_8_1,8
532,774_10_2,4
533,21_8_1,1
534,584_1_1,6
535,686_2_2,8
536,385_10_1,4
537,631_7_2,2
538,309_3_1,2
539,391_3_1,4
540,289_1_1,1
541,286_9_2,3
542,811_1_2,6
543,182_7_1,5
544,196_7_1,5
545,578_1_1,6
546,96_6_2,4
547,238_2_2,4
548,478_6_1,5
549,472_10_1,7
550,47_6_1,3
551,592_10_1,5
552,540_3_2,3
553,39_5_3,3
554,489_7_1,7
555,375_7_2,3
556,827_10_2,8
557,330_8_1,2
558,797_6_1,5
559,437_1_1,4
560,770_7_2,2
561,359_6_1,4
562,267_8_1,5
563,443_5_1,9
564,547_1_1,6
565,275_7_1,2
566,189_8_2,4
567,106_3_1,5
568,802_1_2,4
569,291_5_4,5
570,301_5_1,4
571,233_4_1,5
572,41_4_1,4
573,32_2_1,5
574,255_4_1,4
575,266_7_1,6
576,669_3_1,4
577,251_4_1,2
578,360_7_2,4
579,636_1_2,6
580,485_7_1,3
581,521_10_1,5
582,750_7_1,6
583,12_4_3,3
584,382_1_3,10
585,40_7_1,4
586,135_5_2,6
587,208_4_1,2
588,436_1_1,4
589,708_11_1,5
590,454_8_1,3
591,180_10_2,6
592,777_8_1,3
593,533_2_1,3
594,120_8_1,3
595,715_7_1,5
596,325_7_1,1
597,188_4_1,3
598,522_8_1,5
599,148_6_1,5
600,405_8_1,6
601,496_2_1,7
602,206_4_1,8
603,254_8_1,5
604,420_6_1,4
605,693_6_1,3
606,34_2_2,5
607,547_3_1,4
608,453_6_1,3
609,624_1_1,5
610,535_5_1,5
611,306_3_1,2
612,783_1_1,8
613,406_2_1,6
614,2_8_1,7
615,337_7_1,3
616,476_4_1,2
617,102_4_1,3
618,2_2_1,2
619,688_12_1,5
620,171_1_4,7
621,42_5_1,3
622,273_9_1,4
623,384_1_1,3
624,412_3_1,7
625,430_10_1,4
626,310_4_1,5
627,317_12_1,4
628,285_1_1,7
629,168_5_2,5
630,513_7_1,8
631,559_5_1,6
632,279_4_1,9
633,643_6_5,7
634,580_4_1,1
635,170_1_2,7
636,78_7_1,3
637,518_11_1,3
638,506_5_1,7
639,826_4_1,8
640,498_5_1,3
641,172_8_2,7
642,704_5_4,6
643,212_8_3,7
644,790_8_2,6
645,275_1_1,4
646,822_10_1,6
647,805_5_2,6
648,105_2_1,3
649,498_3_1,6
650,397_1_1,6
651,25_5_1,1
652,624_7_1,5
653,179_6_1,4
654,374_3_2,4
655,451_9_1,4
656,55_1_1,6
657,377_5_4,2
658,237_4_1,4
659,578_5_1,6
660,415_3_1,3
661,385_8_1,3
662,139_6_1,6
663,396_8_1,4
664,11_5_1,5
665,831_1_2,4
666,153_4_1,2
667,776_8_1,5
668,54_3_1,5
669,590_9_1,6
670,178_1_1,6
671,323_4_1,5
672,757_2_1,5
673,523_2_1,4
674,76_5_1,4
675,489_8_2,2
676,642_7_1,4
677,538_1_1,6
678,104_5_1,4
679,531_5_1,5
680,621_2_1,6
681,697_7_1,6
682,24_2_2,4
683,256_11_1,6
684,824_7_1,6
685,285_6_1,7
686,614_9_1,5
687,478_2_1,4
688,639_1_1,5
689,654_5_1,3
690,61_7_2,6
691,447_5_2,8
692,611_9_1,2
693,426_6_1,7
694,780_4_1,4
695,472_2_1,5
696,501_8_1,5
697,694_4_3,7
698,808_6_1,5
699,177_11_2,6
700,132_3_2,6
701,29_5_1,3
702,433_5_1,9
703,480_12_1,3
704,345_1_1,4
705,532_2_1,3
706,419_9_1,8
707,169_4_2,7
708,493_7_1,7
709,515_8_2,5
710,527_1_1,5
711,182_5_1,3
712,353_7_1,4
713,676_6_2,5
714,607_7_1,1
715,461_8_1,4
716,246_8_1,4
717,388_1_1,4
718,647_7_1,4
719,492_7_1,7
720,32_8_1,5
721,660_3_1,2
722,507_5_1,4
723,226_2_1,1
724,28_6_1,3
725,675_10_2,6
726,530_10_1,6
727,9_2_2,5
728,604_6_1,4
729,792_8_1,4
730,314_7_1,5
731,785_7_1,6
732,803_5_1,5
733,356_4_1,4
734,805_6_2,2
735,150_11_1,6
736,607_6_1,4
737,604_3_1,3
738,311_12_1,5
739,207_5_1,5
740,685_3_1,5
741,643_7_2,7
742,610_8_1,3
743,503_5_1,4
744,324_3_1,5
745,301_9_1,4
746,377_6_1,2
747,207_3_1,7
748,413_5_1,6
749,48_1_1,3
750,68_12_1,4
751,150_4_1,8
752,270_9_2,6
753,37_4_1,3
754,600_3_1,7
755,483_9_2,8
756,443_1_1,5
757,345_11_1,3
758,23_3_1,3
759,786_6_3,7
760,757_4_3,3
761,629_6_1,3
762,404_5_1,5
763,832_8_1,5
764,63_6_2,7
765,643_4_2,7
766,595_8_1,6
767,355_3_1,4
768,200_9_1,2
769,94_4_1,4
770,772_3_1,3
771,189_6_1,6
772,109_2_2,3
773,521_6_1,6
774,392_3_1,5
775,771_8_1,5
776,649_9_1,5
777,316_1_1,5
778,231_5_1,6
779,653_3_1,4
780,22_1_1,2
781,763_5_1,2
782,550_5_1,2
783,714_6_1,4
784,136_6_1,3
785,100_8_1,5
786,349_5_2,4
787,40_8_1,2
788,667_1_1,2
789,565_4_1,6
790,552_5_1,3
791,31_6_1,4
792,414_3_1,5
793,820_10_2,7
794,819_4_2,5
795,64_3_1,5
796,171_5_2,6
797,385_12_1,3
798,28_1_1,4
799,399_3_1,3
800,536_6_1,6
801,528_7_1,5
802,351_4_1,2
803,209_6_1,3
804,387_3_1,3
805,765_3_2,5
806,237_1_2,5
807,195_11_2,1
808,687_1_4,7
809,163_2_1,6
810,387_8_1,3
811,42_6_1,3
812,581_9_1,1
813,477_2_1,4
814,833_8_2,7
815,362_1_2,3
816,485_5_1,4
817,781_1_1,4
818,411_7_1,5
819,369_4_1,4
820,94_3_1,2
821,415_5_1,8
822,519_6_1,5
823,269_7_1,4
824,696_6_1,6
825,423_1_1,5
826,55_6_1,5
827,44_8_1,1
828,446_2_1,7
829,280_3_1,7
830,738_5_2,6
831,416_8_1,6
832,669_6_2,1
833,574_5_1,4
834,653_6_1,3
835,33_4_1,3
836,241_3_1,4
837,587_3_2,7
838,480_6_1,4
839,456_4_1,8
840,700_10_3,7
841,756_6_1,5
842,508_6_1,7
843,148_1_1,3
844,75_8_1,3
845,734_8_1,8
846,6_8_1,3
847,358_8_1,4
848,337_3_1,5
849,425_2_1,2
850,530_9_1,6
851,754_4_1,4
852,41_5_1,4
853,287_3_1,7
854,690_8_1,5
855,400_5_1,4
856,798_5_2,5
857,440_5_1,6
858,408_3_1,3
859,464_4_1,5
860,786_7_3,5
861,29_8_1,2
862,73_1_1,6
863,649_4_1,5
864,319_8_1,5
865,250_4_1,3
866,56_11_1,6
867,660_1_1,1
868,54_4_1,5
869,125_7_1,1
870,101_6_1,5
871,816_7_2,7
872,52_3_1,7
873,6_3_2,5
874,686_1_1,5
875,763_2_1,6
876,465_9_1,3
877,697_5_2,6
878,349_7_2,3
879,489_5_2,7
880,460_1_1,7
881,737_5_1,6
882,769_9_2,3
883,130_4_2,7
884,3_5_1,4
885,551_8_1,6
886,443_7_1,4
887,515_3_1,4
888,486_1_1,5
889,79_3_1,4
890,236_8_2,5
891,488_8_1,3
892,175_7_4,5
893,25_9_1,6
894,253_5_1,3
895,635_10_1,2
896,778_2_1,5
897,218_2_1,3
898,452_7_2,4
899,7_5_1,3
900,816_6_1,5
901,676_2_1,6
902,140_4_1,5
903,652_3_1,3
904,504_8_1,2
905,799_4_2,2
906,153_7_1,6
907,13_7_1,6
908,457_6_1,7
909,708_2_1,3
910,723_1_1,4
911,791_9_1,7
912,696_12_1,6
913,209_7_1,8
914,78_5_1,6
915,346_1_1,3
916,662_6_1,3
917,233_6_1,4
918,520_2_1,6
919,550_8_3,3
920,782_6_1,6
921,217_4_5,4
922,647_2_1,3
923,85_1_1,4
924,563_6_1,5
925,620_5_1,5
926,598_1_1,4
927,662_7_1,2
928,832_9_2,6
929,234_10_2,5
930,89_2_1,5
931,158_8_1,5
932,138_11_1,5
933,176_1_1,5
934,382_4_2,4
935,474_9_2,7
936,321_1_1,1
937,246_9_1,4
938,126_6_1,5
939,366_12_1,6
940,202_5_1,4
941,66_11_3,7
942,439_4_2,5
943,152_6_2,6
944,691_4_1,5
945,623_9_1,7
946,71_6_1,5
947,789_7_1,4
948,74_3_1,3
949,717_7_1,5
950,392_6_1,3
951,811_9_1,5
952,122_4_1,5
953,722_10_2,7
954,213_7_1,5
955,361_1_1,5
956,409_7_1,4
957,92_3_1,5
958,257_10_1,3
959,511_8_1,6
960,645_11_2,5
961,769_7_2,6
962,470_8_2,2
963,52_1_1,6
964,783_7_1,7
965,41_7_1,3
966,342_2_1,4
967,813_10_2,4
968,718_6_2,5
969,37_3_1,5
970,464_8_1,5
971,421_2_1,6
972,403_8_3,7
973,627_3_5,3
974,266_2_1,4
975,766_4_2,3
976,253_7_1,4
977,589_11_1,1
978,478_7_1,5
979,399_6_1,1
980,739_8_1,3
981,318_7_1,4
982,363_1_2,3
983,793_1_2,7
984,109_1_1,5
985,296_12_1,6
986,705_12_1,6
987,360_6_1,2
988,497_5_1,6
989,543_1_1,3
990,246_7_1,6
991,726_1_2,6
992,47_4_1,4
993,434_3_1,6
994,675_9_1,5
995,725_7_1,5
996,442_1_1,6
997,126_3_1,4
998,577_8_2,5
999,609_3_1,5
1000,539_3_1,7
1001,650_5_1,4
1002,684_5_1,5
1003,615_5_1,6
1004,167_3_1,4
1005,729_9_2,5
1006,299_8_1,1
1007,605_10_1,4
1008,437_9_1,4
1009,506_3_1,7
1010,572_5_1,8
1011,578_3_1,7
1012,566_8_1,4
1013,755_3_2,2
1014,170_6_1,5
1015,295_1_1,6
1016,447_4_2,8
1017,93_8_1,4
1018,754_5_2,4
1019,599_4_1,8
1020,196_3_1,5
1021,181_9_1,2
1022,310_2_1,6
1023,144_8_2,4
1024,235_1_2,5
1025,16_3_1,6
1026,60_8_1,8
1027,236_3_1,5
1028,305_8_1,5
1029,184_5_1,1
1030,332_7_1,5
1031,540_8_1,2
1032,118_7_2,4
1033,609_12_1,5
1034,55_8_1,7
1035,478_5_1,4
1036,769_2_2,2
1037,805_9_2,5
1038,522_3_1,6
1039,426_8_1,5
1040,485_8_1,4
1041,176_9_2,3
1042,547_4_2,4
1043,284_1_1,8
1044,576_2_1,4
1045,35_8_1,5
1046,241_7_1,5
1047,156_3_4,5
1048,476_1_1,3
1049,719_12_1,8
1050,444_1_1,7
1051,361_9_1,6
1052,649_2_1,5
1053,758_6_1,6
1054,73_2_1,4
1055,8_5_2,6
1056,99_4_1,5
1057,273_8_1,5
1058,697_4_1,6
1059,498_4_1,6
1060,808_1_1,4
1061,148_8_1,7
1062,186_8_1,3
1063,765_4_1,7
1064,477_3_2,4
1065,345_4_1,4
1066,479_2_4,7
1067,294_3_2,2
1068,53_5_1,5
1069,581_3_1,1
1070,70_2_1,2
1071,773_5_3,1
1072,792_4_1,5
1073,222_1_1,3
1074,194_7_2,4
1075,535_4_2,3
1076,376_5_4,6
1077,402_5_2,5
1078,813_3_2,4
1079,247_11_1,4
1080,187_1_2,3
1081,23_7_1,3
1082,527_7_1,5
1083,100_3_1,4
1084,596_6_1,4
1085,736_3_2,9
1086,430_6_1,3
1087,517_2_1,6
1088,376_8_1,2
1089,603_1_1,7
1090,67_4_1,4
1091,89_7_1,6
1092,758_7_2,5
1093,727_3_2,5
1094,701_11_2,6
1095,389_1_1,4
1096,495_5_1,4
1097,114_6_1,6
1098,325_2_1,3
1099,706_12_3,9
1100,405_5_2,7
1101,490_3_1,7
1102,432_5_1,7
1103,567_5_1,6
1104,116_10_1,6
1105,276_10_1,4
1106,659_8_1,1
1107,2_9_1,2
1108,754_1_1,3
1109,40_4_1,4
1110,271_9_2,5
1111,592_4_2,6
1112,646_1_1,4
1113,562_5_1,5
1114,172_4_1,6
1115,549_4_1,7
1116,747_3_3,4
1117,276_1_1,3
1118,693_3_1,4
1119,603_3_1,5
1120,516_1_1,4
1121,288_8_1,2
1122,510_4_1,6
1123,674_3_1,3
1124,666_7_1,2
1125,617_1_2,6
1126,406_8_2,7
1127,609_9_1,4
1128,789_6_1,5
1129,791_2_1,5
1130,779_4_1,5
1131,130_1_2,6
1132,534_8_1,4
1133,641_7_1,7
1134,346_5_2,4
1135,319_1_1,4
1136,127_4_1,6
1137,545_1_2,1
1138,306_1_1,6
1139,87_4_1,7
1140,67_9_1,4
1141,589_9_1,1
1142,765_2_1,5
1143,82_6_1,4
1144,5_3_1,3
1145,538_2_1,6
1146,6_7_1,4
1147,660_5_1,1
1148,737_6_2,6
1149,121_9_3,4
1150,216_2_1,4
1151,218_5_1,1
1152,247_9_1,3
1153,781_6_1,1
1154,611_2_1,4
1155,489_3_1,7
1156,621_3_1,6
1157,658_6_1,1
1158,4_4_1,8
1159,402_1_4,9
1160,8_9_1,3
1161,131_6_1,4
1162,737_2_1,4
1163,516_8_1,5
1164,29_4_1,3
1165,532_6_1,7
1166,521_2_1,7
1167,355_6_1,5
1168,505_10_1,3
1169,122_2_1,5
1170,544_7_1,6
1171,202_10_1,7
1172,150_9_1,6
1173,339_4_2,5
1174,192_7_1,3
1175,412_4_1,4
1176,741_6_1,6
1177,720_6_1,7
1178,813_1_2,3
1179,221_1_3,2
1180,176_8_3,7
1181,623_1_1,7
1182,32_6_1,5
1183,414_4_1,6
1184,538_7_1,4
1185,720_7_1,8
1186,573_7_2,5
1187,368_8_1,2
1188,350_5_1,4
1189,200_5_1,5
1190,670_2_2,3
1191,172_7_1,7
1192,614_2_1,5
1193,439_2_1,4
1194,625_4_1,3
1195,81_2_1,5
1196,401_8_1,3
1197,658_1_1,2
1198,38_2_1,3
1199,38_9_1,2
1200,359_3_1,5
1201,371_6_1,3
1202,396_3_1,3
1203,201_1_1,7
1204,318_10_1,3
1205,82_9_1,3
1206,166_2_1,3
1207,473_11_1,4
1208,621_6_1,6
1209,31_1_1,5
1210,98_9_1,3
1211,128_3_1,3
1212,265_7_1,5
1213,123_3_2,4
1214,234_4_1,1
1215,287_6_4,5
1216,766_1_2,4
1217,33_2_1,5
1218,112_10_1,4
1219,180_7_2,4
1220,672_1_1,4
1221,630_5_2,3
1222,721_4_1,6
1223,794_1_1,5
1224,219_4_1,5
1225,336_6_1,4
1226,175_2_1,1
1227,280_2_1,6
1228,631_4_2,3
1229,177_5_2,4
1230,571_2_1,5
1231,273_3_1,6
1232,452_6_1,3
1233,282_3_1,8
1234,357_1_2,4
1235,659_5_1,1
1236,469_8_1,3
1237,178_4_1,7
1238,184_6_1,5
1239,540_4_1,7
1240,137_6_1,5
1241,767_7_1,1
1242,16_5_1,2
1243,374_2_2,7
1244,724_8_1,9
1245,501_3_1,4
1246,762_1_1,4
1247,417_2_1,2
1248,537_2_1,3
1249,75_7_1,3
1250,10_4_1,4
1251,726_11_1,5
1252,775_3_2,5
1253,242_9_1,6
1254,447_8_2,8
1255,315_6_1,4
1256,19_6_1,4
1257,398_3_1,3
1258,57_7_1,5
1259,708_5_1,2
1260,633_10_1,2
1261,512_9_1,7
1262,102_1_1,4
1263,725_10_2,5
1264,426_4_1,5
1265,140_8_1,6
1266,102_3_1,5
1267,142_2_1,6
1268,105_3_1,4
1269,421_3_1,5
1270,641_4_1,4
1271,798_2_2,6
1272,195_9_1,5
1273,155_4_1,5
1274,154_2_2,4
1275,177_4_1,7
1276,510_1_1,6
1277,602_9_1,5
1278,354_8_1,4
1279,225_5_1,5
1280,583_9_1,6
1281,230_5_2,3
1282,129_6_1,5
1283,695_8_1,4
1284,234_1_2,5
1285,44_10_1,2
1286,226_8_2,3
1287,83_7_1,4
1288,22_5_1,2
1289,282_5_1,8
1290,824_3_3,8
1291,53_7_1,6
1292,322_4_1,5
1293,281_8_1,5
1294,111_3_1,6
1295,484_11_1,8
1296,157_8_1,2
1297,735_4_1,4
1298,239_2_2,4
1299,693_4_1,5
1300,340_8_1,4
1301,13_8_2,5
1302,685_7_1,6
1303,311_8_1,4
1304,626_6_2,5
1305,809_3_2,7
1306,220_5_1,4
1307,351_3_1,8
1308,361_10_1,5
1309,615_3_1,6
1310,17_8_2,5
1311,535_2_1,4
1312,424_7_1,3
1313,824_5_1,5
1314,749_10_1,5
1315,642_2_1,4
1316,401_6_1,3
1317,264_7_1,3
1318,830_8_2,5
1319,307_11_1,6
1320,177_9_1,4
1321,303_1_1,4
1322,101_8_1,6
1323,58_8_1,7
1324,110_9_3,6
1325,820_11_1,5
1326,759_1_2,4
1327,627_5_1,1
1328,506_8_1,7
1329,737_1_2,4
1330,100_9_1,4
1331,45_4_1,4
1332,786_8_1,7
1333,135_2_2,6
1334,290_4_1,2
1335,19_1_1,4
1336,48_5_1,5
1337,386_2_1,3
1338,515_2_1,4
1339,16_2_2,5
1340,306_9_1,5
1341,53_3_1,6
1342,579_6_1,2
1343,657_1_1,3
1344,474_3_1,6
1345,820_8_1,8
1346,642_4_2,6
1347,70_4_1,4
1348,203_1_1,6
1349,394_11_1,4
1350,655_4_1,1
1351,594_3_1,7
1352,160_1_1,4
1353,781_7_1,3
1354,565_7_1,7
1355,761_11_1,5
1356,809_1_1,5
1357,651_7_1,2
1358,472_4_1,8
