psu_hh_idcode,subjectivePoverty_rating,hhid,q02,q03,q05,q09,q23,Q01,Q03,Q06,Q07,Q08,Q11,Q19
5_5_1,4,505,1,1,64,0,0,1,1,3.0,0.0,2.0,13.0,2.0
5_6_1,8,506,1,1,53,0,0,1,1,9.0,0.0,2.0,13.0,2.0
5_7_1,4,507,1,1,52,0,0,1,1,3.0,0.0,2.0,2.0,2.0
5_8_1,2,508,1,1,55,0,0,1,1,3.0,1.0,2.0,2.0,2.0
5_9_1,4,509,2,1,60,0,0,1,1,3.0,2.0,2.0,2.0,2.0
6_2_1,6,602,1,1,64,0,0,1,1,2.0,1.0,2.0,13.0,2.0
6_3_2,5,603,2,2,54,0,0,1,1,2.0,1.0,2.0,13.0,2.0
6_4_1,8,604,1,1,36,0,0,1,1,9.0,1.0,2.0,13.0,2.0
6_5_1,4,605,1,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
6_7_1,4,607,2,1,80,0,0,3,1,1.0,1.0,2.0,13.0,2.0
6_8_1,3,608,1,1,77,0,0,1,1,1.0,1.0,2.0,13.0,2.0
6_9_1,5,609,2,1,71,0,0,3,1,3.0,1.0,2.0,13.0,2.0
6_10_2,6,610,2,2,36,0,0,1,1,9.0,0.0,2.0,13.0,2.0
7_2_1,4,702,1,1,36,0,0,1,1,2.0,1.0,2.0,13.0,2.0
7_3_1,6,703,1,1,55,0,0,1,1,6.0,1.0,2.0,13.0,2.0
7_4_1,4,704,1,1,42,0,0,1,1,3.0,0.0,1.0,,
7_5_1,3,705,1,1,38,0,0,1,1,2.0,1.0,2.0,13.0,2.0
7_6_1,4,706,2,1,76,0,0,1,1,1.0,1.0,2.0,13.0,2.0
7_7_1,4,707,1,1,48,0,0,1,1,3.0,1.0,2.0,13.0,2.0
8_1_2,4,801,2,2,45,0,0,1,1,2.0,1.0,2.0,13.0,2.0
8_2_2,5,802,2,2,40,0,0,1,1,3.0,1.0,2.0,13.0,2.0
8_3_1,4,803,2,1,51,0,0,1,1,9.0,1.0,2.0,13.0,2.0
8_5_2,6,805,2,2,41,0,0,1,1,9.0,1.0,2.0,13.0,2.0
8_6_1,4,806,1,1,66,0,0,1,1,2.0,1.0,2.0,13.0,2.0
8_7_1,4,807,1,1,70,0,0,1,1,1.0,1.0,2.0,13.0,2.0
8_8_1,4,808,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
8_9_1,3,809,1,1,45,0,0,1,1,2.0,1.0,2.0,13.0,2.0
9_2_2,5,902,2,2,45,0,0,1,1,2.0,0.0,2.0,13.0,2.0
9_4_1,5,904,1,1,67,0,0,2,1,2.0,0.0,2.0,13.0,2.0
9_5_1,4,905,1,1,43,6,0,1,1,2.0,0.0,2.0,13.0,2.0
9_6_2,3,906,1,4,32,0,1,1,1,2.0,0.0,2.0,13.0,2.0
9_7_1,4,907,1,1,53,0,2,1,1,3.0,0.0,2.0,13.0,2.0
9_8_3,3,908,1,4,34,7,2,1,1,2.0,3.0,2.0,13.0,2.0
10_1_1,6,1001,1,1,56,0,0,1,1,2.0,1.0,2.0,13.0,2.0
10_2_1,3,1002,1,1,49,1,0,1,1,2.0,0.0,2.0,13.0,2.0
10_3_1,4,1003,1,1,77,0,0,1,1,1.0,1.0,2.0,13.0,2.0
10_4_1,4,1004,1,1,63,0,0,2,1,1.0,1.0,2.0,13.0,2.0
10_5_1,4,1005,1,1,54,0,0,1,1,2.0,1.0,2.0,13.0,2.0
10_7_2,3,1007,2,2,45,0,0,2,1,1.0,1.0,2.0,13.0,2.0
10_8_1,4,1008,1,1,53,0,0,1,1,2.0,1.0,2.0,13.0,2.0
11_1_2,5,1101,2,2,45,0,0,1,1,6.0,0.0,2.0,13.0,2.0
11_2_2,4,1102,2,2,63,0,0,1,1,2.0,1.0,2.0,13.0,2.0
11_3_2,4,1103,2,2,59,0,0,1,1,2.0,1.0,2.0,13.0,2.0
11_4_1,4,1104,1,1,65,11,0,2,1,2.0,0.0,2.0,13.0,2.0
11_5_1,5,1105,1,1,46,0,0,1,1,3.0,1.0,2.0,13.0,2.0
11_6_1,4,1106,1,1,60,0,0,1,1,3.0,1.0,2.0,13.0,2.0
11_7_1,4,1107,1,1,39,0,2,1,1,3.0,1.0,2.0,13.0,2.0
11_8_2,3,1108,1,4,25,0,1,1,1,3.0,1.0,2.0,13.0,2.0
12_1_1,3,1201,2,1,58,0,0,2,1,1.0,0.0,2.0,4.0,2.0
12_2_2,7,1202,2,2,64,0,0,1,1,2.0,0.0,2.0,4.0,2.0
12_3_1,2,1203,1,1,30,0,0,1,1,2.0,4.0,2.0,4.0,2.0
12_4_3,3,1204,1,4,27,0,2,1,1,2.0,4.0,2.0,4.0,2.0
12_5_2,3,1205,2,2,67,0,0,2,1,1.0,0.0,2.0,2.0,2.0
12_6_1,5,1206,1,1,49,0,1,1,1,2.0,0.0,2.0,2.0,2.0
12_8_2,4,1208,2,2,57,0,0,1,1,2.0,0.0,2.0,4.0,2.0
13_1_1,7,1301,1,1,51,0,0,1,1,9.0,4.0,2.0,13.0,2.0
13_2_1,8,1302,1,1,56,0,0,1,1,3.0,0.0,2.0,4.0,2.0
13_4_1,2,1304,1,1,50,0,0,1,1,2.0,4.0,2.0,13.0,2.0
13_6_1,4,1306,2,1,42,0,0,1,1,3.0,4.0,2.0,4.0,2.0
13_7_1,6,1307,1,1,54,0,0,1,1,9.0,1.0,2.0,13.0,2.0
13_8_2,5,1308,2,2,40,0,0,1,1,3.0,4.0,2.0,13.0,2.0
13_9_1,3,1309,1,1,65,0,0,1,1,2.0,4.0,2.0,13.0,2.0
14_1_1,8,1401,1,1,82,0,0,1,1,9.0,4.0,2.0,13.0,2.0
14_2_1,3,1402,1,1,50,0,0,1,1,2.0,2.0,2.0,4.0,2.0
14_4_1,7,1404,1,1,55,0,1,1,1,6.0,4.0,2.0,13.0,2.0
14_5_2,4,1405,2,2,44,0,0,1,1,2.0,2.0,2.0,4.0,2.0
14_6_1,7,1406,1,1,72,0,0,1,1,1.0,2.0,2.0,4.0,2.0
14_7_1,6,1407,1,1,74,0,0,1,1,9.0,2.0,2.0,13.0,2.0
14_8_1,5,1408,1,1,40,0,0,1,1,2.0,3.0,2.0,4.0,2.0
14_9_1,5,1409,1,1,36,0,0,1,1,3.0,4.0,2.0,4.0,2.0
15_2_1,3,1502,2,1,62,0,0,1,1,4.0,0.0,2.0,13.0,2.0
15_3_1,3,1503,1,1,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
15_7_4,4,1507,2,9,22,0,0,1,1,3.0,1.0,2.0,13.0,2.0
15_10_4,3,1510,2,9,30,0,0,1,1,3.0,1.0,2.0,13.0,2.0
16_1_1,4,1601,2,1,76,0,0,2,1,1.0,0.0,2.0,4.0,2.0
16_2_2,5,1602,2,2,46,0,0,1,1,6.0,0.0,2.0,13.0,2.0
16_3_1,6,1603,1,1,72,0,0,1,1,2.0,0.0,2.0,13.0,2.0
16_4_2,8,1604,2,2,61,0,0,1,1,2.0,0.0,2.0,13.0,2.0
16_5_1,2,1605,1,1,48,0,1,2,1,1.0,0.0,2.0,4.0,2.0
17_1_1,2,1701,1,1,33,0,0,1,1,3.0,1.0,2.0,13.0,2.0
17_2_1,3,1702,1,1,60,0,0,2,1,1.0,1.0,2.0,13.0,2.0
17_4_1,6,1704,1,1,28,0,0,1,1,9.0,1.0,2.0,13.0,2.0
17_5_1,6,1705,1,1,74,0,0,2,1,1.0,1.0,2.0,13.0,2.0
17_7_1,6,1707,1,1,55,0,1,2,1,2.0,1.0,2.0,13.0,2.0
17_8_2,5,1708,2,2,41,0,0,1,1,9.0,1.0,2.0,13.0,2.0
18_1_1,2,1801,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
18_3_2,6,1803,2,2,54,0,0,1,1,9.0,1.0,2.0,13.0,2.0
18_4_1,8,1804,1,1,47,3,0,1,1,2.0,1.0,2.0,13.0,2.0
18_5_1,5,1805,2,1,89,0,0,2,1,1.0,1.0,2.0,13.0,2.0
18_6_1,4,1806,2,1,65,0,0,2,1,1.0,1.0,2.0,13.0,2.0
18_7_1,7,1807,1,1,62,0,2,2,1,2.0,1.0,2.0,13.0,2.0
19_1_1,4,1901,1,1,54,0,0,1,1,3.0,1.0,2.0,13.0,2.0
19_2_1,3,1902,1,1,54,0,0,1,1,2.0,1.0,2.0,13.0,2.0
19_4_1,5,1904,1,1,61,0,0,2,1,3.0,1.0,2.0,13.0,2.0
19_5_1,4,1905,1,1,79,0,0,2,1,1.0,1.0,2.0,13.0,2.0
19_6_1,4,1906,1,1,74,1,0,2,1,2.0,1.0,2.0,13.0,2.0
19_7_2,3,1907,2,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
19_9_1,3,1909,1,1,63,0,0,2,1,2.0,1.0,2.0,13.0,2.0
20_1_1,3,2001,1,1,77,0,0,2,1,1.0,1.0,2.0,13.0,2.0
20_2_1,5,2002,1,1,52,0,0,1,1,5.0,1.0,2.0,13.0,2.0
20_4_1,3,2004,1,1,58,0,1,1,1,2.0,1.0,2.0,13.0,2.0
20_6_1,5,2006,1,1,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
20_7_1,3,2007,1,1,79,0,0,2,1,0.0,1.0,2.0,13.0,2.0
20_8_1,3,2008,1,1,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
20_9_1,3,2009,1,1,64,0,0,1,1,2.0,0.0,2.0,13.0,2.0
21_3_1,3,2103,1,1,30,0,0,1,1,2.0,0.0,2.0,13.0,2.0
21_4_1,3,2104,1,1,61,0,0,2,1,2.0,1.0,2.0,13.0,2.0
21_6_2,3,2106,2,1,30,0,0,1,1,2.0,1.0,2.0,13.0,2.0
21_7_1,3,2107,1,1,45,0,0,1,1,3.0,1.0,2.0,13.0,2.0
21_8_1,1,2108,1,1,46,1,0,1,1,2.0,1.0,2.0,13.0,2.0
22_1_1,2,2201,1,1,20,0,1,1,1,2.0,1.0,2.0,13.0,2.0
22_2_1,1,2202,1,1,74,0,0,2,1,1.0,1.0,2.0,13.0,2.0
22_3_1,1,2203,2,1,71,0,0,2,1,1.0,1.0,2.0,13.0,2.0
22_4_1,3,2204,1,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
22_5_1,2,2205,1,1,36,0,0,1,1,2.0,1.0,2.0,13.0,2.0
22_6_1,4,2206,1,1,56,0,0,1,1,2.0,1.0,2.0,13.0,2.0
22_7_1,4,2207,2,1,53,0,0,2,1,2.0,1.0,2.0,13.0,2.0
22_8_1,1,2208,1,1,49,0,0,1,1,2.0,1.0,2.0,13.0,2.0
23_1_1,3,2301,1,1,75,0,0,1,1,1.0,1.0,2.0,13.0,2.0
23_3_1,3,2303,1,1,62,0,1,1,1,2.0,1.0,2.0,13.0,2.0
23_4_1,1,2304,1,1,46,0,0,1,1,2.0,1.0,2.0,13.0,2.0
23_5_1,4,2305,1,1,41,0,0,1,2,,,,,
23_6_1,2,2306,2,1,80,0,0,2,1,0.0,1.0,2.0,13.0,2.0
23_7_1,3,2307,1,1,50,0,0,1,1,2.0,1.0,2.0,13.0,2.0
23_8_1,2,2308,1,1,50,0,0,1,1,2.0,1.0,2.0,13.0,2.0
23_9_1,4,2309,1,1,63,0,0,1,1,2.0,1.0,2.0,13.0,2.0
24_1_1,6,2401,1,1,51,0,0,1,1,3.0,1.0,2.0,13.0,2.0
24_2_2,4,2402,2,2,48,0,0,1,1,2.0,1.0,2.0,13.0,2.0
24_3_1,2,2403,1,1,54,0,0,2,1,2.0,1.0,2.0,13.0,2.0
24_4_1,4,2404,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
24_5_1,4,2405,1,1,82,0,0,1,1,1.0,1.0,2.0,13.0,2.0
24_8_1,3,2408,2,1,75,0,0,2,1,2.0,1.0,2.0,13.0,2.0
25_1_2,5,2501,2,2,35,0,0,1,1,2.0,1.0,2.0,13.0,2.0
25_2_1,4,2502,1,1,51,0,0,1,1,2.0,1.0,2.0,13.0,2.0
25_3_1,4,2503,1,1,39,0,0,1,1,2.0,1.0,2.0,13.0,2.0
25_4_3,4,2504,1,4,20,0,1,1,1,3.0,2.0,1.0,,
25_5_1,1,2505,1,1,29,0,0,1,1,2.0,1.0,2.0,13.0,2.0
25_8_1,7,2508,1,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
25_9_1,6,2509,1,1,47,9,0,1,1,2.0,1.0,2.0,13.0,2.0
26_4_1,4,2604,1,1,56,0,0,1,1,2.0,1.0,2.0,13.0,2.0
26_5_1,5,2605,1,1,48,0,0,2,1,2.0,1.0,2.0,13.0,2.0
26_6_1,6,2606,1,1,54,5,0,1,1,2.0,1.0,2.0,13.0,2.0
26_8_1,5,2608,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
27_1_1,3,2701,1,1,39,0,1,1,1,2.0,1.0,2.0,13.0,2.0
27_2_1,3,2702,1,1,53,0,1,1,1,2.0,1.0,2.0,13.0,2.0
27_3_1,3,2703,1,1,81,0,0,2,1,0.0,1.0,2.0,13.0,2.0
27_4_1,6,2704,1,1,28,0,0,1,1,9.0,1.0,2.0,13.0,2.0
27_5_1,5,2705,1,1,40,0,0,1,1,2.0,1.0,2.0,13.0,2.0
27_6_1,3,2706,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
27_7_1,2,2707,1,1,37,0,0,1,1,2.0,1.0,2.0,13.0,2.0
27_8_1,2,2708,1,1,39,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_1_1,4,2801,1,1,48,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_2_1,4,2802,1,1,53,0,1,1,1,2.0,1.0,2.0,13.0,2.0
28_3_1,6,2803,1,1,54,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_4_1,2,2804,1,1,60,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_5_1,4,2805,1,1,70,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_6_1,3,2806,1,1,61,0,0,1,1,2.0,1.0,2.0,13.0,2.0
28_7_1,4,2807,1,1,50,0,0,1,1,2.0,1.0,2.0,13.0,2.0
29_3_1,4,2903,1,1,71,0,0,1,1,1.0,1.0,2.0,13.0,2.0
29_4_1,3,2904,2,1,69,0,0,2,1,1.0,1.0,2.0,13.0,2.0
29_5_1,3,2905,1,1,63,0,0,2,1,1.0,1.0,2.0,13.0,2.0
29_6_1,2,2906,1,1,37,0,0,1,1,2.0,1.0,2.0,13.0,2.0
29_7_1,3,2907,1,1,77,0,0,2,1,1.0,1.0,2.0,13.0,2.0
29_8_1,2,2908,2,1,76,0,0,3,1,1.0,1.0,2.0,13.0,2.0
30_2_1,2,3002,1,1,39,4,0,1,1,2.0,1.0,2.0,13.0,2.0
30_3_1,8,3003,1,1,46,4,0,1,1,2.0,1.0,2.0,13.0,2.0
30_5_1,6,3005,1,1,44,0,2,1,1,2.0,1.0,2.0,13.0,2.0
30_6_1,3,3006,1,1,43,2,0,1,1,2.0,1.0,2.0,13.0,2.0
30_7_1,4,3007,1,1,91,0,0,3,2,,,,,
30_8_1,4,3008,1,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
31_1_1,5,3101,1,1,76,0,0,2,1,1.0,1.0,2.0,13.0,2.0
31_4_1,3,3104,2,1,72,0,0,2,1,1.0,0.0,2.0,13.0,2.0
31_5_1,4,3105,1,1,70,0,0,2,1,2.0,0.0,2.0,13.0,2.0
31_6_1,4,3106,2,1,47,0,0,1,1,2.0,1.0,2.0,13.0,2.0
31_7_1,5,3107,1,1,54,0,0,1,1,3.0,1.0,2.0,13.0,2.0
31_8_1,5,3108,1,1,53,0,0,1,1,2.0,1.0,2.0,13.0,2.0
32_2_1,5,3202,1,1,43,0,1,1,1,2.0,0.0,2.0,13.0,2.0
32_4_1,5,3204,1,1,57,0,0,2,1,2.0,0.0,2.0,13.0,2.0
32_5_1,3,3205,2,1,36,0,0,1,1,2.0,0.0,2.0,13.0,2.0
32_6_1,5,3206,1,1,45,0,0,1,1,2.0,0.0,2.0,13.0,2.0
32_8_1,5,3208,1,1,62,0,1,1,1,2.0,0.0,2.0,13.0,2.0
33_1_1,5,3301,1,1,37,0,0,1,1,2.0,0.0,2.0,13.0,2.0
33_2_1,5,3302,1,1,32,0,0,1,1,2.0,0.0,2.0,13.0,2.0
33_3_1,3,3303,1,1,51,1,0,1,1,3.0,0.0,2.0,13.0,2.0
33_4_1,3,3304,2,1,42,0,0,1,1,3.0,1.0,2.0,2.0,2.0
33_7_1,6,3307,1,1,42,0,0,1,1,3.0,0.0,2.0,13.0,2.0
33_9_1,2,3309,1,1,36,0,2,1,1,2.0,0.0,2.0,13.0,2.0
34_1_1,3,3401,1,1,64,0,0,2,1,2.0,0.0,2.0,14.0,2.0
34_2_2,5,3402,2,2,48,0,0,1,1,3.0,0.0,2.0,2.0,2.0
34_3_1,2,3403,2,1,59,0,0,2,1,2.0,0.0,2.0,13.0,2.0
34_4_1,3,3404,1,1,58,0,0,2,1,2.0,0.0,2.0,2.0,2.0
34_5_1,3,3405,1,1,52,0,0,1,1,2.0,0.0,2.0,13.0,2.0
34_6_1,2,3406,1,1,38,0,0,1,1,2.0,2.0,2.0,2.0,2.0
34_7_1,4,3407,1,1,48,0,0,1,1,9.0,0.0,2.0,13.0,2.0
34_8_1,3,3408,2,1,56,0,0,1,1,2.0,0.0,2.0,13.0,2.0
35_1_1,6,3501,1,1,43,0,0,1,1,2.0,0.0,2.0,13.0,2.0
35_2_1,5,3502,1,1,56,0,0,1,1,1.0,0.0,2.0,13.0,2.0
35_3_1,6,3503,1,1,49,0,0,1,1,2.0,0.0,2.0,13.0,2.0
35_4_1,5,3504,1,1,42,4,0,1,1,2.0,0.0,2.0,13.0,2.0
35_5_1,4,3505,1,1,72,0,0,1,1,3.0,0.0,2.0,13.0,2.0
35_6_1,5,3506,1,1,63,0,0,2,1,1.0,0.0,2.0,13.0,2.0
35_7_1,5,3507,1,1,43,0,0,1,1,3.0,0.0,2.0,13.0,2.0
35_8_1,5,3508,1,1,68,0,0,2,1,1.0,0.0,2.0,13.0,2.0
36_2_1,3,3602,1,1,57,0,0,2,1,1.0,0.0,2.0,13.0,2.0
36_3_1,4,3603,1,1,49,0,0,1,1,3.0,0.0,2.0,13.0,2.0
36_4_1,4,3604,1,1,59,0,0,2,1,1.0,0.0,2.0,13.0,2.0
36_5_1,4,3605,1,1,65,0,0,2,1,1.0,0.0,2.0,13.0,2.0
36_7_1,3,3607,2,1,61,0,0,2,1,1.0,0.0,2.0,13.0,2.0
36_8_1,5,3608,1,1,51,0,1,1,1,3.0,0.0,2.0,13.0,2.0
37_1_1,1,3701,1,1,60,0,0,2,1,2.0,1.0,2.0,13.0,2.0
37_2_1,2,3702,1,1,76,1,0,2,1,2.0,1.0,2.0,13.0,2.0
37_3_1,5,3703,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
37_4_1,3,3704,1,1,40,0,0,1,1,2.0,1.0,2.0,13.0,2.0
37_5_1,5,3705,1,1,48,1,0,1,1,2.0,1.0,2.0,13.0,2.0
37_6_1,2,3706,1,1,49,0,0,1,1,2.0,1.0,2.0,13.0,2.0
37_7_1,6,3707,1,1,54,0,0,1,1,3.0,1.0,2.0,13.0,2.0
37_9_1,2,3709,1,1,71,0,0,3,2,,,,,
38_1_1,1,3801,1,1,73,0,0,2,1,1.0,1.0,2.0,13.0,2.0
38_2_1,3,3802,1,1,75,0,0,2,1,1.0,1.0,2.0,13.0,2.0
38_4_1,4,3804,1,1,56,0,0,1,1,2.0,1.0,2.0,13.0,2.0
38_5_1,3,3805,1,1,48,0,2,1,1,2.0,1.0,2.0,13.0,2.0
38_6_1,3,3806,1,1,58,0,0,2,1,2.0,1.0,2.0,13.0,2.0
38_9_1,2,3809,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
39_1_1,4,3901,1,1,47,0,1,1,1,2.0,1.0,2.0,13.0,2.0
39_2_1,2,3902,1,1,61,1,0,1,1,2.0,1.0,2.0,13.0,2.0
39_3_1,3,3903,1,1,68,0,0,1,1,2.0,1.0,2.0,13.0,2.0
39_4_1,1,3904,2,1,86,0,0,2,1,0.0,1.0,2.0,13.0,2.0
39_5_3,3,3905,1,4,27,0,2,1,1,2.0,1.0,2.0,13.0,2.0
39_6_1,3,3906,1,1,53,0,0,1,1,2.0,1.0,2.0,13.0,2.0
39_7_1,4,3907,1,1,73,0,0,1,1,1.0,1.0,2.0,13.0,2.0
39_8_1,1,3908,1,1,51,0,0,1,1,2.0,1.0,2.0,13.0,2.0
40_1_1,2,4001,1,1,60,0,0,1,1,2.0,0.0,2.0,2.0,2.0
40_2_1,5,4002,1,1,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
40_3_1,3,4003,2,1,69,0,0,2,1,1.0,1.0,2.0,13.0,2.0
40_4_1,4,4004,1,1,54,0,0,1,1,6.0,1.0,2.0,13.0,2.0
40_5_1,6,4005,1,1,61,0,0,1,1,3.0,1.0,2.0,13.0,2.0
40_6_1,5,4006,1,1,30,0,1,1,1,2.0,1.0,2.0,13.0,2.0
40_7_1,4,4007,2,1,64,0,0,2,1,1.0,1.0,2.0,13.0,2.0
40_8_1,2,4008,1,1,52,0,0,1,1,1.0,1.0,2.0,13.0,2.0
41_3_1,3,4103,2,1,81,0,0,2,1,2.0,1.0,2.0,13.0,2.0
41_4_1,4,4104,1,1,59,0,0,1,1,2.0,1.0,2.0,13.0,2.0
41_5_1,4,4105,1,1,65,0,0,2,1,1.0,1.0,2.0,13.0,2.0
41_6_1,4,4106,1,1,70,0,0,2,1,1.0,1.0,2.0,13.0,2.0
41_7_1,3,4107,1,1,48,0,0,1,1,2.0,1.0,2.0,13.0,2.0
41_8_1,5,4108,1,1,45,0,0,1,1,3.0,1.0,2.0,13.0,2.0
42_1_1,3,4201,1,1,65,0,0,2,2,,,,,
42_2_1,4,4202,1,1,50,0,0,1,1,2.0,0.0,2.0,13.0,2.0
42_3_1,3,4203,1,1,59,0,0,1,1,2.0,0.0,2.0,2.0,2.0
42_4_1,2,4204,1,1,45,0,0,1,1,2.0,0.0,2.0,13.0,2.0
42_5_1,3,4205,1,1,55,0,0,1,1,6.0,0.0,2.0,2.0,2.0
42_6_1,3,4206,1,1,55,0,0,1,1,2.0,0.0,2.0,13.0,2.0
42_8_1,3,4208,1,1,45,0,0,1,1,2.0,0.0,2.0,2.0,2.0
43_1_1,4,4301,1,1,52,0,0,2,1,1.0,0.0,2.0,13.0,2.0
43_3_1,6,4303,1,1,60,0,0,1,1,6.0,0.0,2.0,13.0,2.0
43_4_1,6,4304,1,1,32,0,0,1,1,2.0,0.0,2.0,13.0,2.0
43_5_1,5,4305,1,1,35,1,0,1,1,3.0,0.0,2.0,13.0,2.0
43_9_1,4,4309,1,1,43,0,0,1,1,5.0,0.0,2.0,13.0,2.0
43_10_1,4,4310,1,1,47,0,0,1,1,2.0,0.0,2.0,13.0,2.0
44_1_1,5,4401,1,1,46,0,0,1,1,3.0,1.0,2.0,13.0,2.0
44_6_1,4,4406,1,1,40,0,0,1,1,2.0,2.0,2.0,2.0,2.0
44_8_1,1,4408,1,1,59,0,0,2,1,2.0,0.0,2.0,4.0,2.0
44_9_1,4,4409,1,1,55,0,0,1,1,9.0,0.0,2.0,13.0,2.0
44_10_1,2,4410,1,1,35,0,0,1,1,3.0,0.0,2.0,2.0,2.0
44_11_1,2,4411,1,1,73,0,0,2,1,2.0,0.0,2.0,2.0,2.0
44_12_1,4,4412,1,1,33,0,0,1,1,3.0,1.0,2.0,5.0,2.0
45_1_1,3,4501,1,1,57,0,0,2,1,2.0,0.0,2.0,2.0,2.0
45_2_1,4,4502,1,1,48,0,0,1,1,3.0,0.0,2.0,13.0,2.0
45_4_1,4,4504,1,1,39,0,1,1,1,2.0,1.0,2.0,2.0,2.0
45_5_1,2,4505,2,1,46,0,0,1,1,3.0,1.0,2.0,2.0,2.0
45_7_1,4,4507,1,1,52,0,0,1,1,2.0,0.0,2.0,2.0,2.0
45_9_1,2,4509,2,1,52,0,0,2,1,2.0,0.0,2.0,8.0,2.0
45_10_1,4,4510,1,1,46,0,0,1,1,3.0,0.0,2.0,4.0,2.0
46_1_1,2,4601,1,1,40,0,0,1,1,2.0,1.0,2.0,2.0,2.0
46_2_1,4,4602,1,1,58,0,0,1,1,2.0,0.0,2.0,2.0,2.0
46_6_1,3,4606,1,1,40,0,0,1,1,3.0,1.0,2.0,4.0,2.0
46_8_1,4,4608,1,1,54,0,0,1,1,3.0,0.0,2.0,13.0,2.0
46_9_1,1,4609,1,1,53,0,0,1,1,2.0,0.0,2.0,2.0,2.0
46_10_1,3,4610,1,1,42,0,0,1,1,3.0,1.0,2.0,13.0,2.0
47_1_1,5,4701,2,1,74,0,0,2,1,2.0,0.0,2.0,14.0,2.0
47_2_1,4,4702,1,1,47,0,0,1,1,9.0,1.0,2.0,13.0,2.0
47_3_1,3,4703,1,1,55,0,0,1,1,2.0,0.0,2.0,4.0,2.0
47_4_1,4,4704,1,1,67,0,0,1,1,9.0,1.0,2.0,13.0,2.0
