psu_hh_idcode,hhid,rating_filled,q02,q03,q05,q09,q23,Q01,Q03,Q06,Q07,Q08,Q11,Q19
67_10_1,6710,2.0,1,1,42,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
585_2_1,58502,5.0,2,1,77,0,0,2.0,1.0,1.0,1.0,2.0,13.0,2.0
147_9_1,14709,5.0,1,1,72,0,0,1.0,1.0,1.0,1.0,2.0,13.0,2.0
519_2_1,51902,5.0,1,1,56,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
496_8_1,49608,8.0,1,1,52,0,0,1.0,1.0,3.0,0.0,2.0,2.0,2.0
733_8_1,73308,2.0,2,1,26,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
184_11_1,18411,2.0,1,1,59,0,0,3.0,2.0,,,,,
619_5_1,61905,7.0,1,1,52,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
551_5_1,55105,4.0,1,1,69,0,0,1.0,1.0,3.0,0.0,2.0,2.0,2.0
474_1_1,47401,7.0,1,1,42,0,0,1.0,1.0,9.0,1.0,2.0,13.0,2.0
530_7_1,53007,7.0,1,1,52,0,0,1.0,1.0,5.0,0.0,2.0,13.0,2.0
8_7_1,807,4.0,1,1,70,0,0,1.0,1.0,1.0,1.0,2.0,13.0,2.0
146_3_1,14603,5.0,1,1,52,0,0,1.0,1.0,6.0,1.0,2.0,13.0,2.0
396_5_1,39605,2.0,1,1,75,0,0,2.0,1.0,1.0,1.0,2.0,13.0,2.0
814_8_2,81408,2.0,2,2,66,0,0,2.0,1.0,1.0,0.0,2.0,2.0,2.0
672_8_2,67208,3.0,2,8,20,0,0,1.0,1.0,3.0,2.0,1.0,,
167_8_1,16708,4.0,1,1,60,0,0,2.0,2.0,,,,,
490_11_1,49011,7.0,1,1,74,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
60_2_1,6002,4.0,1,1,60,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
738_8_2,73808,3.0,2,2,76,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
4_10_1,410,7.0,1,1,63,0,0,1.0,1.0,1.0,1.0,2.0,13.0,2.0
33_9_1,3309,2.0,1,1,36,0,2,1.0,1.0,2.0,0.0,2.0,13.0,2.0
465_5_1,46505,4.0,1,1,45,0,0,1.0,1.0,3.0,1.0,2.0,13.0,2.0
648_11_2,64811,6.0,2,2,51,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
23_5_1,2305,4.0,1,1,41,0,0,1.0,2.0,,,,,
131_11_2,13111,2.0,2,2,69,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
367_11_1,36711,5.0,1,1,55,0,0,1.0,1.0,3.0,2.0,2.0,2.0,2.0
30_2_1,3002,2.0,1,1,39,4,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
29_7_1,2907,3.0,1,1,77,0,0,2.0,1.0,1.0,1.0,2.0,13.0,2.0
364_5_1,36405,4.0,1,1,52,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
190_4_1,19004,6.0,1,1,66,0,0,1.0,1.0,1.0,0.0,2.0,13.0,2.0
3_3_1,303,4.0,1,1,45,0,1,1.0,1.0,5.0,0.0,2.0,2.0,2.0
13_1_1,1301,7.0,1,1,51,0,0,1.0,1.0,9.0,4.0,2.0,13.0,2.0
454_4_1,45404,7.0,1,1,68,0,0,1.0,1.0,1.0,0.0,2.0,13.0,2.0
800_5_1,80005,3.0,1,1,57,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
190_1_1,19001,6.0,1,1,57,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
624_4_2,62404,5.0,2,2,37,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
699_7_1,69907,5.0,1,1,43,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
353_6_1,35306,5.0,1,1,66,0,0,2.0,1.0,1.0,0.0,2.0,13.0,2.0
593_4_1,59304,5.0,1,1,42,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
739_2_1,73902,4.0,1,1,52,0,0,1.0,1.0,5.0,0.0,2.0,13.0,2.0
741_4_2,74104,6.0,2,2,42,0,0,1.0,1.0,3.0,0.0,2.0,4.0,2.0
7_4_1,704,4.0,1,1,42,0,0,1.0,1.0,3.0,0.0,1.0,,
341_4_1,34104,5.0,1,1,64,0,0,1.0,1.0,9.0,0.0,2.0,2.0,2.0
358_5_3,35805,5.0,1,4,44,0,2,1.0,1.0,2.0,1.0,2.0,13.0,2.0
768_10_1,76810,3.0,1,1,38,0,0,1.0,1.0,8.0,0.0,2.0,13.0,2.0
11_1_2,1101,5.0,2,2,45,0,0,1.0,1.0,6.0,0.0,2.0,13.0,2.0
300_2_1,30002,3.0,2,1,58,0,0,3.0,2.0,,,,,
264_12_1,26412,7.0,1,1,48,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
130_16_2,13016,5.0,2,2,30,0,0,1.0,1.0,3.0,0.0,2.0,2.0,2.0
730_5_2,73005,9.0,2,2,34,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
48_6_1,4806,3.0,1,1,57,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
59_5_1,5905,7.0,1,1,63,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
135_12_2,13512,3.0,2,2,63,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
179_4_1,17904,5.0,1,1,40,0,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
309_1_1,30901,4.0,1,1,38,0,0,1.0,1.0,3.0,3.0,2.0,13.0,2.0
505_5_1,50505,3.0,1,1,64,0,0,1.0,1.0,1.0,1.0,2.0,13.0,2.0
356_2_1,35602,5.0,1,1,47,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
508_4_1,50804,5.0,2,1,58,0,0,2.0,1.0,1.0,0.0,2.0,13.0,2.0
726_7_2,72607,7.0,2,2,52,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
492_6_1,49206,6.0,1,1,60,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
568_2_1,56802,9.0,1,1,72,0,0,1.0,1.0,2.0,2.0,2.0,13.0,2.0
331_5_1,33105,4.0,1,1,35,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
178_8_1,17808,6.0,1,1,60,0,0,1.0,1.0,9.0,1.0,2.0,13.0,2.0
12_6_1,1206,5.0,1,1,49,0,1,1.0,1.0,2.0,0.0,2.0,2.0,2.0
213_8_1,21308,4.0,1,1,71,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
42_8_1,4208,3.0,1,1,45,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
385_7_1,38507,3.0,1,1,25,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
396_7_1,39607,3.0,1,1,72,0,0,2.0,1.0,2.0,1.0,2.0,13.0,2.0
785_2_2,78502,4.0,2,2,24,0,0,1.0,1.0,2.0,0.0,2.0,12.0,2.0
248_7_1,24807,6.0,2,1,69,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
382_8_1,38208,1.0,1,1,51,0,0,1.0,1.0,3.0,2.0,2.0,12.0,2.0
705_4_2,70504,6.0,2,2,66,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
442_3_1,44203,4.0,1,1,55,0,0,1.0,1.0,3.0,0.0,2.0,2.0,2.0
336_5_1,33605,4.0,2,1,72,0,0,2.0,1.0,1.0,1.0,2.0,13.0,2.0
471_7_2,47107,7.0,2,1,28,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
526_6_1,52606,4.0,1,1,70,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
210_1_1,21001,8.0,1,1,59,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
784_9_1,78409,6.0,1,1,56,0,0,1.0,1.0,2.0,0.0,2.0,4.0,2.0
152_10_2,15210,6.0,2,2,45,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
629_4_2,62904,5.0,2,2,35,0,0,1.0,1.0,2.0,0.0,2.0,4.0,2.0
752_5_1,75205,6.0,1,1,67,0,0,1.0,1.0,3.0,1.0,2.0,13.0,2.0
395_1_2,39501,5.0,2,2,61,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
192_9_1,19209,4.0,1,1,73,0,0,2.0,1.0,2.0,0.0,2.0,13.0,2.0
236_2_2,23602,8.0,2,2,39,0,0,1.0,1.0,9.0,1.0,2.0,13.0,2.0
770_5_2,77005,1.0,2,2,30,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
380_7_1,38007,5.0,1,1,41,0,0,1.0,1.0,9.0,2.0,2.0,13.0,2.0
760_8_2,76008,9.0,2,2,52,0,0,1.0,1.0,9.0,1.0,2.0,13.0,2.0
226_10_1,22610,2.0,2,1,73,0,0,1.0,1.0,1.0,0.0,2.0,13.0,2.0
759_2_2,75902,4.0,2,2,34,0,0,1.0,1.0,3.0,2.0,2.0,13.0,2.0
543_2_1,54302,3.0,1,1,52,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
651_2_1,65102,4.0,1,1,45,0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0
729_5_1,72905,6.0,1,1,27,0,0,1.0,1.0,3.0,0.0,2.0,4.0,2.0
240_12_1,24012,3.0,1,1,54,0,2,1.0,1.0,2.0,0.0,2.0,2.0,2.0
494_7_1,49407,4.0,1,1,53,0,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
681_8_1,68108,6.0,1,1,49,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
678_6_2,67806,7.0,2,2,39,0,0,1.0,1.0,3.0,2.0,2.0,13.0,2.0
661_7_1,66107,2.0,1,1,74,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
150_7_1,15007,5.0,1,1,43,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
375_6_3,37506,3.0,2,4,32,0,2,1.0,1.0,3.0,0.0,2.0,2.0,2.0
324_9_1,32409,5.0,2,1,56,0,0,1.0,1.0,2.0,3.0,2.0,13.0,2.0
377_8_3,37708,5.0,2,9,32,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
48_3_1,4803,3.0,2,1,41,0,0,1.0,1.0,3.0,1.0,2.0,2.0,2.0
243_7_1,24307,4.0,2,1,85,0,0,3.0,2.0,,,,,
552_8_1,55208,4.0,1,1,53,0,0,1.0,1.0,3.0,1.0,2.0,2.0,2.0
74_2_1,7402,4.0,1,1,66,0,0,1.0,1.0,1.0,1.0,2.0,13.0,2.0
501_4_1,50104,4.0,1,1,37,0,0,1.0,1.0,9.0,1.0,2.0,13.0,2.0
688_7_1,68807,6.0,1,1,55,0,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
3_10_1,310,5.0,1,1,68,0,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
536_1_1,53601,4.0,1,1,74,0,0,1.0,1.0,1.0,1.0,2.0,13.0,2.0
770_2_2,77002,4.0,2,2,27,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
631_6_1,63106,3.0,1,1,77,0,0,1.0,1.0,1.0,1.0,2.0,13.0,2.0
731_9_1,73109,8.0,2,1,63,0,0,1.0,1.0,3.0,0.0,2.0,2.0,2.0
285_2_1,28502,7.0,1,1,51,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
786_2_3,78602,5.0,2,2,52,0,0,2.0,1.0,2.0,0.0,2.0,4.0,2.0
750_11_1,75011,7.0,1,1,61,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
792_9_2,79209,4.0,2,2,34,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
639_3_2,63903,8.0,2,2,46,0,0,1.0,1.0,3.0,1.0,2.0,13.0,2.0
516_3_1,51603,5.0,1,1,68,0,0,1.0,1.0,2.0,0.0,2.0,4.0,2.0
726_8_1,72608,4.0,1,1,57,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
494_2_1,49402,8.0,1,1,52,0,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
628_1_1,62801,5.0,1,1,60,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
270_5_2,27005,6.0,2,2,64,0,0,1.0,1.0,1.0,0.0,2.0,2.0,2.0
503_1_1,50301,3.0,1,1,53,0,0,1.0,1.0,6.0,0.0,2.0,13.0,2.0
590_7_1,59007,8.0,1,1,59,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
17_5_1,1705,6.0,1,1,74,0,0,2.0,1.0,1.0,1.0,2.0,13.0,2.0
556_3_1,55603,1.0,1,1,54,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
284_3_1,28403,7.0,1,1,40,0,0,1.0,1.0,3.0,0.0,2.0,2.0,2.0
133_2_2,13302,3.0,2,2,53,0,0,1.0,1.0,3.0,0.0,2.0,2.0,2.0
67_12_1,6712,7.0,1,1,40,0,0,1.0,1.0,4.0,3.0,2.0,13.0,2.0
403_3_3,40303,6.0,1,4,22,0,1,1.0,1.0,3.0,0.0,1.0,,
681_4_1,68104,5.0,1,1,73,0,0,1.0,1.0,6.0,0.0,2.0,13.0,2.0
451_4_1,45104,5.0,1,1,49,0,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
167_1_1,16701,7.0,1,1,38,0,0,1.0,1.0,5.0,1.0,2.0,13.0,2.0
288_12_1,28812,2.0,2,1,74,0,0,1.0,1.0,6.0,1.0,2.0,13.0,2.0
200_2_1,20002,6.0,1,1,75,0,0,2.0,1.0,2.0,0.0,2.0,13.0,2.0
135_9_2,13509,2.0,2,2,43,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
438_11_1,43811,5.0,1,1,58,0,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
629_9_1,62909,3.0,1,1,58,0,0,1.0,1.0,3.0,0.0,2.0,2.0,2.0
96_4_1,9604,4.0,1,1,51,0,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
805_4_2,80504,5.0,2,2,63,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
450_3_1,45003,4.0,1,1,49,0,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
811_6_1,81106,5.0,2,1,45,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
498_8_1,49808,4.0,1,1,55,0,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
657_7_1,65707,4.0,1,1,49,0,1,2.0,1.0,2.0,1.0,2.0,2.0,2.0
512_2_1,51202,7.0,1,1,59,0,0,1.0,1.0,2.0,0.0,2.0,4.0,2.0
642_5_2,64205,7.0,2,2,59,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
764_2_2,76402,4.0,2,2,31,0,0,1.0,1.0,3.0,2.0,2.0,13.0,2.0
388_4_1,38804,3.0,1,1,58,2,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
145_8_1,14508,4.0,1,1,54,0,1,1.0,1.0,3.0,1.0,2.0,13.0,2.0
95_4_1,9504,2.0,1,1,61,0,0,3.0,2.0,,,,,
265_8_1,26508,4.0,1,1,30,0,0,1.0,1.0,3.0,0.0,2.0,2.0,2.0
785_3_2,78503,5.0,2,2,47,0,0,1.0,1.0,1.0,0.0,2.0,4.0,2.0
195_3_2,19503,4.0,2,2,33,0,0,1.0,1.0,3.0,2.0,2.0,12.0,2.0
137_4_1,13704,4.0,1,1,58,0,1,1.0,1.0,2.0,1.0,2.0,13.0,2.0
85_5_1,8505,2.0,1,1,51,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
209_8_1,20908,2.0,1,1,41,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
195_2_1,19502,5.0,1,1,65,3,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
63_1_3,6301,6.0,2,9,24,0,0,1.0,1.0,3.0,2.0,2.0,12.0,2.0
296_8_1,29608,6.0,1,1,58,0,0,1.0,1.0,2.0,1.0,2.0,13.0,2.0
408_7_1,40807,5.0,2,1,88,0,0,3.0,2.0,,,,,
708_6_1,70806,3.0,2,1,28,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
825_5_2,82505,2.0,2,2,41,0,0,1.0,1.0,5.0,1.0,2.0,13.0,2.0
265_4_1,26504,5.0,2,1,61,0,0,1.0,1.0,1.0,0.0,2.0,2.0,2.0
370_5_1,37005,2.0,1,1,60,0,0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
457_4_2,45704,5.0,2,2,53,0,0,1.0,1.0,6.0,0.0,2.0,13.0,2.0
670_6_3,67006,4.0,1,4,31,0,2,1.0,1.0,3.0,2.0,2.0,4.0,2.0
735_5_1,73505,4.0,2,1,25,0,0,1.0,1.0,9.0,0.0,2.0,13.0,2.0
325_4_1,32504,4.0,1,1,45,0,1,1.0,1.0,2.0,3.0,2.0,13.0,2.0
602_6_1,60206,5.0,2,1,73,0,0,1.0,1.0,2.0,0.0,2.0,13.0,2.0
584_8_2,58408,7.0,2,2,51,0,0,1.0,1.0,3.0,0.0,2.0,13.0,2.0
316_4_1,31604,5.0,1,1,70,0,0,1.0,1.0,3.0,2.0,2.0,13.0,2.0
